,text,sentiment,site
92,worked great,1,Amazon
93,ear bud play music one ear,0,Amazon
94,dont waste money,0,Amazon
95,order,1,Amazon
96,plan use car forget,0,Amazon
97,found product waaay big,0,Amazon
98,best found far tried one bluetooths one best quality listener well ease using,1,Amazon
99,disappointed decision,0,Amazon
100,integrated seamlessly motorola razr phone,1,Amazon
101,buyer beware could flush money right toilet,0,Amazon
102,definitely bargain,1,Amazon
103,price good free shipping good purchase,1,Amazon
104,received supposedly new motorola apparently match phone charger,0,Amazon
105,pro good camera nice picture also cool style like black white,1,Amazon
106,huge design flaw unless using correctly think case,0,Amazon
107,love headset jabra bluetooth headset great reception good ear piece comfortable fit,1,Amazon
108,camera although rated impressive two megapixels render image fall well expectation relatively high resolution,0,Amazon
109,purcashed car charger work,0,Amazon
110,sound quality end excellent use headset call wife ask wife use headset call one,1,Amazon
111,phone slim light display beautiful,1,Amazon
112,little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case,1,Amazon
113,great product fast shipping,1,Amazon
114,absolutely great,1,Amazon
115,keyboard nice compromise full qwerty basic cell phone number keypad,1,Amazon
116,got phone around end may completely unhappy,0,Amazon
117,comfortable ear,1,Amazon
118,winner u,1,Amazon
119,setup simpler,1,Amazon
120,tried several different earpiece cell phone jabra one first one found fit ear comfortably,1,Amazon
121,could get strong enough signal,0,Amazon
122,iam pleased purchase,1,Amazon
123,bad quality,0,Amazon
124,get job done,1,Amazon
125,great audio,1,Amazon
126,basically service bad,0,Amazon
127,work cell phone plug set charger,0,Amazon
128,bluetooth week really like,1,Amazon
129,bt headset disapoinment,0,Amazon
130,small even realize getting used,1,Amazon
131,accompanied software almost brilliant,1,Amazon
132,headset work great packaged nicely avoid damage,1,Amazon
133,definitly recommend,1,Amazon
134,buyer careful,0,Amazon
135,majority logitech earbud headset failed,0,Amazon
136,good stuff price,1,Amazon
137,headset work peachy keen,1,Amazon
138,house getting dropped coverage upstairs coverage basement,0,Amazon
139,voice recognition tremendous,1,Amazon
140,waste,0,Amazon
141,several different one minute call experienced five drop area five bar,0,Amazon
142,happy item,0,Amazon
143,disappointed,0,Amazon
144,phone take forever charge like one five hour literally,0,Amazon
145,got phone reccomendation relative glad,1,Amazon
146,waste time,0,Amazon
147,reception poor,0,Amazon
148,item stated included description included,0,Amazon
149,two month screen went black sudden,0,Amazon
150,hoping,0,Amazon
151,audio quality poor poor,0,Amazon
152,absolutely problem headset linking blackberry curve,1,Amazon
153,know sound funny seemed like sketchy technology work well well one work great,1,Amazon
154,bought five wired headphone sound better,0,Amazon
155,phone fast sending kind message web browsing significantly faster previous phone used,1,Amazon
156,nice quality build unlike cheap,1,Amazon
157,item fantastic work perfectly,1,Amazon
158,love color,1,Amazon
159,w superb,1,Amazon
160,whine internet go use thing less like,0,Amazon
161,great charger,1,Amazon
162,essentially communication tool communicate,0,Amazon
163,work like charm work one got phone,1,Amazon
164,still maintain monkey make headphone obviously share enough dna copy design human,0,Amazon
165,great value,1,Amazon
166,work bougth l c working,0,Amazon
167,look sharp screen nice clear great graphic,1,Amazon
168,last long,0,Amazon
169,one thing hate mode set button side,0,Amazon
170,excellent service,1,Amazon
171,thank wasting money,0,Amazon
172,audio quality poor,0,Amazon
173,igo charger tip really great,1,Amazon
174,file browser offer option one need handsfree great,1,Amazon
175,superb phone great network,1,Amazon
176,connected wife bluetooth motorola h phone worked like charm whether phone pocket case,1,Amazon
177,put latest o v g like slow crawl lock every,0,Amazon
178,recognizes phone storage device,0,Amazon
179,like loud buzzing override conversation phone,0,Amazon
180,buy product,0,Amazon
181,bluetoooth headset time still comfortable way fit ear,0,Amazon
182,sound quality good functionality awesome,1,Amazon
183,phone thorn side really abhor,0,Amazon
184,recently problem could stay connected ten minute disconnected,0,Amazon
185,incredible,1,Amazon
186,design flaw,0,Amazon
187,great phone,1,Amazon
188,waste buck,0,Amazon
189,check voice mail night keypad backlight turn second first message lost,0,Amazon
190,replacement died week,0,Amazon
191,ring tone overall good phone buy,1,Amazon
192,lately extremely nice helpful phone,1,Amazon
193,problem wit hit dropping signal,0,Amazon
194,impressed,0,Amazon
195,light weight hardly notice,1,Amazon
196,love thin,1,Amazon
197,bad choice,0,Amazon
198,pleather case fit,0,Amazon
199,useless phone simply deaf,0,Amazon
200,color even prettier thought would graphic incredibly sharp,1,Amazon
201,think good investment,1,Amazon
202,make strange ticking noise end call,0,Amazon
203,best electronics available fm transmitter,1,Amazon
204,battery last hour,0,Amazon
205,great headset impressed h,1,Amazon
206,one mega pixel camera part phone reasonably good,1,Amazon
207,nearly one year worked great,1,Amazon
208,good transmit audio,1,Amazon
209,sending back,0,Amazon
210,bother contacting company dollar product learned lesson bought form online anyway,0,Amazon
211,hate earbugs avoid phone mean,0,Amazon
212,great price also,1,Amazon
213,range decent able roam around house phone living room reception sound quality issue,1,Amazon
214,fast service,1,Amazon
215,would highly recommend,1,Amazon
216,would recommend,1,Amazon
217,also like button felt like would crack use,0,Amazon
218,worst phone ever,0,Amazon
219,still infatuated phone,1,Amazon
220,freeze frequently,0,Amazon
221,kind embarrassing use look mostly embarrassing child like company,0,Amazon
222,simple lightweight great fit,1,Amazon
223,expected better consumer experience motorola,0,Amazon
224,horrible tick sound background call never experienced,0,Amazon
225,certainly comfortable functionality decent,1,Amazon
226,usually like headband one lightweight mess hair,1,Amazon
227,bit disappointed,0,Amazon
228,phone year tell great,0,Amazon
229,ordered sony ericsson w think worked thats first used,0,Amazon
230,battery completely useless,0,Amazon
231,big waste time,0,Amazon
232,waste one,0,Amazon
233,great sound service,1,Amazon
234,really pleased product far,1,Amazon
235,one favorite purchase ever,1,Amazon
236,best bluetooth market,1,Amazon
237,authentic leather nice shine comfort recommend case,1,Amazon
238,excited get headset thought really cute,1,Amazon
239,make mistake,0,Amazon
240,big disappointment calendar sync,0,Amazon
241,phone unusable new,0,Amazon
242,worst customer service ever,0,Amazon
243,additional ear gel provided instruction whatsoever,0,Amazon
244,defeat purpose bluetooth headset,0,Amazon
245,worth every penny,1,Amazon
246,excellent wallet type phone case,1,Amazon
247,nice headphone price work great,1,Amazon
248,internet excrutiatingly slow,0,Amazon
249,comfortable wear well probably important aspect using case,1,Amazon
250,fit like glove strong secure durable,1,Amazon
251,gosh best phone ever,1,Amazon
252,attractive appears good quality,1,Amazon
253,love feature form factor,1,Amazon
254,product strong rubber petroleum smell unbearable caused return,0,Amazon
255,poor quality service,0,Amazon
256,cable look thin flimsy scary,0,Amazon
257,great earpiece,1,Amazon
258,excellent hand free tool,1,Amazon
259,great using home stereo,1,Amazon
260,good product incredible value,1,Amazon
261,month worked flawlessly far,1,Amazon
262,work great,1,Amazon
263,absolutel junk,0,Amazon
264,one work either,0,Amazon
265,battery life real good,1,Amazon
266,returned eight hour later,0,Amazon
267,great item,1,Amazon
268,waste money,0,Amazon
269,love headset,1,Amazon
270,drain player may also potentially fry,0,Amazon
271,worked perfectly,1,Amazon
272,unreliable giving,0,Amazon
273,gave five star sound quality,1,Amazon
274,avoid one,0,Amazon
275,reversible plug work great,1,Amazon
276,wasted little money earpiece,0,Amazon
277,good phone,1,Amazon
278,best rotating feature helpful,1,Amazon
279,comfort whole family,1,Amazon
280,good product good seller,1,Amazon
281,love bluetooth,1,Amazon
282,first wear well,0,Amazon
283,impressed headset plantronics,1,Amazon
284,got small adorable,1,Amazon
285,great phone,1,Amazon
286,recommend buying product,0,Amazon
287,piece junk,0,Amazon
288,poorly contstruct hinge,0,Amazon
289,item great installed let charged overnite working good every since problem,1,Amazon
290,great phone,1,Amazon
291,buy,0,Amazon
292,excellent phone,1,Amazon
293,purchase phone,0,Amazon
294,voice recognition thru handset excellent,1,Amazon
295,hand best phone ever,1,Amazon
296,work great cat attacked phone scratched protective strip instead destroying screen,1,Amazon
297,one work priced right,1,Amazon
298,customer service terrible,0,Amazon
299,battery life still long enough motorola razor v,0,Amazon
300,sending back,0,Amazon
301,know made wise decision,1,Amazon
302,someone shouldve invented sooner,1,Amazon
303,good price,1,Amazon
304,everything worked first try device certainly engineered clever way construction feel good,1,Amazon
305,received quickly work great,1,Amazon
306,working great,1,Amazon
307,many people complained found headset microphone weak,0,Amazon
308,five year old nokia tracfone hold charge lot better,0,Amazon
309,care consumer one bit,0,Amazon
310,good battery got really fast,1,Amazon
311,instruction manual lacking,0,Amazon
312,also slim enough fit alarm clock docking station without removing case,1,Amazon
313,phone hold charge like new,1,Amazon
314,battery unreliable well service use antena,0,Amazon
315,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0,Amazon
316,gotten lot compliment,1,Amazon
317,definitely must state allow cell phone usage driving,1,Amazon
318,want money back,0,Amazon
319,love device,1,Amazon
320,also happy price,1,Amazon
321,ordered product first unhappy immediately,0,Amazon
322,ngage still lacking earbuds,0,Amazon
323,able voice dialing car problem,1,Amazon
324,one two bar cell phone home cant hear anything,0,Amazon
325,good item low price,1,Amazon
326,however riingtones best neither game,0,Amazon
327,plug work well,0,Amazon
328,amazon suck,0,Amazon
329,rip charge shipping,0,Amazon
330,comfortable,1,Amazon
331,battery working well replacement original came phone one year ago,1,Amazon
332,reception excellent,1,Amazon
333,fit comfortably either ear sound clear loud charge last couple day,1,Amazon
334,clear quality sound mess sound ipod since sound button headset,1,Amazon
335,long lasting battery recharge frequentyly flip phone one,0,Amazon
336,obviously problem adhesive,0,Amazon
337,disappointing,0,Amazon
338,inexpensive piece would still expected better quality,0,Amazon
339,practically useless add kind boost reception bought,0,Amazon
340,excellent sound quality,1,Amazon
341,happy,0,Amazon
342,piece junk broke phone one day,0,Amazon
343,new battery work great phone,1,Amazon
344,worst customer service,0,Amazon
345,dropped phone time say even concrete phone still great knock wood,1,Amazon
346,reception terrible full static,0,Amazon
347,good audio quality,1,Amazon
348,little device transformed organizational capability made life whole lot easier,1,Amazon
349,sitting vehicle cradle belt headset lost signal,0,Amazon
350,jerk phone,0,Amazon
351,work like charm work advertised,1,Amazon
352,comfortable nice range good battery life,1,Amazon
353,network coverage los angeles horrible,0,Amazon
354,excellent starter wireless headset,0,Amazon
355,loudspeaker option great bumper light appealing,0,Amazon
356,thing think could improve sound leak headset,0,Amazon
357,first reception suck never one bar ever,0,Amazon
358,phone get extremely hot,0,Amazon
359,microphone also work well according people called applifies everything,1,Amazon
360,nice design quality,1,Amazon
361,also phone dropped case going save specially dropped face,0,Amazon
362,light easy use clear reception transmission,1,Amazon
363,bad fit way big,0,Amazon
364,definitely good,1,Amazon
365,awesome device,1,Amazon
366,waste money,0,Amazon
367,ordered motorola data cable got well finished working product,1,Amazon
368,love phone,1,Amazon
369,looking headset long time got happier,1,Amazon
370,drivng along headset start ringing reason,0,Amazon
371,display excellent camera good year,1,Amazon
372,battery life also great,1,Amazon
373,worst phone ever month,0,Amazon
374,good item worked started problem auto reverse tape player,0,Amazon
375,embarassing also ear hurt try push ear plug ear,0,Amazon
376,protects phone side,1,Amazon
377,average phone bad battery life operates weak network,0,Amazon
378,clear skype call long battery life long range,1,Amazon
379,soyo technology suck,0,Amazon
380,great hand free device,1,Amazon
381,even take self portrait outside exterior display cool,1,Amazon
382,problem others mentioned,0,Amazon
383,trying many many handsfree gadget one finally work well,1,Amazon
384,magical help,1,Amazon
385,worst piece crap ever along verizon customer service,0,Amazon
386,poor sound quality,0,Amazon
387,best phone market,1,Amazon
388,worked well,1,Amazon
389,company shipped product promptly work well,1,Amazon
390,exactly wanted,1,Amazon
391,picture resolution far comparably priced phone offering today,0,Amazon
392,great deal,1,Amazon
393,excellent product satisfied purchase,1,Amazon
394,highly recommend encourage people give try,1,Amazon
395,better expect,1,Amazon
396,using earpiece left right thing stay ear,0,Amazon
397,great product price,1,Amazon
398,sound good reasonably priced effective simple,1,Amazon
399,still waiting sure item would work well ever recieve,0,Amazon
400,disappointment,0,Amazon
401,prompt service,1,Amazon
402,excellent product price,1,Amazon
403,pleased headset,1,Amazon
404,waste money time,0,Amazon
405,especially love long battery life,1,Amazon
406,stupid keep buying new charger car charger cradle headphone car kit every time new phone come,0,Amazon
407,work great,1,Amazon
408,plantronics bluetooth excelent buy,1,Amazon
409,came verizon cingulair nicer cell phone first thing noticed really bad service,0,Amazon
410,looking new earpiece,0,Amazon
411,highly recommend device everyone,1,Amazon
412,jawbone era awesome,1,Amazon
413,received white colored battery go dead couple hoursthe original used last week still last longer thereplacement,0,Amazon
414,year battery went completely dead headset,0,Amazon
415,used several phone two year one best,1,Amazon
416,awesome new look fall,1,Amazon
417,first phone cheaply made,0,Amazon
418,att clear sound distorted yell talk,0,Amazon
419,plastic break really easy clip,0,Amazon
420,price good,1,Amazon
421,make mistake,0,Amazon
422,oh forgot also mention weird color effect phone,0,Amazon
423,using iriver spinn case fit fine,1,Amazon
424,also area unit broke fond magnetic strap,0,Amazon
425,overall psyched phone appointment contact get great reception,1,Amazon
426,every thing phone work perfectly like,1,Amazon
427,another note phone appearance really look rather bland especially black model,0,Amazon
428,really easy,1,Amazon
429,sanyo survived dozen drop blacktop without ill effect,1,Amazon
430,fantastic earphone,1,Amazon
431,find cell phone right away enter car,1,Amazon
432,low quality,0,Amazon
433,highly recommend modest priced cellular phone,1,Amazon
434,get better reception clarity phone,1,Amazon
435,warning stay away,0,Amazon
436,wish could return unit get back money,0,Amazon
437,awsome device work great,1,Amazon
438,used talk one hour battery would literally drained dying,0,Amazon
439,find bad unit come one earpad would recommend anyone,0,Amazon
440,displeased,0,Amazon
441,might gotten defect would risk buying built quality alone,0,Amazon
442,made case small difficult install,0,Amazon
443,restored phone like new performance,1,Amazon
444,would recommend purchasing jabra jx ten series one work flawlessly moto q go figure,1,Amazon
445,searched internet found one best value,1,Amazon
446,fit,0,Amazon
447,happy product,1,Amazon
448,screen size big key pad lit well enough camera quality excellent camera phone,1,Amazon
449,really nothing bad say headset,0,Amazon
450,glad found product amazon hard find high priced,1,Amazon
451,portable work,1,Amazon
452,colleague get great reception little expensive performance great,1,Amazon
453,even fully charged went bed turned blue tooth wi fi noticed left morning,0,Amazon
454,also problem phone reading memory card always turn,0,Amazon
455,good wearing hat sunglass,0,Amazon
456,timely shipment quality product,1,Amazon
457,nice solid keyboard,1,Amazon
458,well made fit surefire gx perfectly,1,Amazon
459,horrible phone,0,Amazon
460,bt battery junk,0,Amazon
461,would recommend others,1,Amazon
462,cant get software work computer,0,Amazon
463,disappointed,0,Amazon
464,poor voice clarity,0,Amazon
465,battery work great,1,Amazon
466,buyer remorse one,0,Amazon
467,disappointed accessoryone,0,Amazon
468,find inexcusable probably returning phone perhaps changing carrier,0,Amazon
469,look great strong,1,Amazon
470,tmobile service one two year pretty happy,1,Amazon
471,update procedure difficult cumbersome,0,Amazon
472,disappointment hate anything go ear,0,Amazon
473,great software motorolas,1,Amazon
474,delivery time,1,Amazon
475,easy use,1,Amazon
476,uncomfortable ear use lg vx env,0,Amazon
477,volume switch rocketed unit destination unknown,0,Amazon
478,hold charge long time reasonably comfortable long wearing condition quality sound tremendous,1,Amazon
479,like return,0,Amazon
480,keyboard really worthwhile usefulness sturdy enough expect problem,1,Amazon
481,verizon bill however difficult understand even though pricing plan simple,0,Amazon
482,charging overnight battery work great,1,Amazon
483,regret,1,Amazon
484,love phone,1,Amazon
485,disappointment,0,Amazon
486,user friendly,0,Amazon
487,unfortunately ability actually know receiving call rather important feature phone pitiful respect,0,Amazon
488,exchanged phone even problem,0,Amazon
489,result phone either stuck max volume mute,0,Amazon
490,pda rock,1,Amazon
491,super charged use small hybrid palmtop camera cellphone excels role,1,Amazon
492,would definitely recommend jabra bt v looking comfort clarity great price,1,Amazon
493,verizon one year ago really liked service,1,Amazon
494,pretty piece junk,0,Amazon
495,plug wrong size,0,Amazon
496,work described,1,Amazon
497,save money item month,0,Amazon
498,bad purchase,0,Amazon
499,well im satisfied,1,Amazon
500,bose noise cancelling amazing important nyc commuter,1,Amazon
501,battery excellent bargain,1,Amazon
502,defective crap,0,Amazon
503,would given star able,0,Amazon
504,wear glass fit fine,1,Amazon
505,sound quality device unacceptable unless really quiet area almost hear nothing,0,Amazon
506,would recommend item anyone,0,Amazon
507,holster arrived match photo ad,0,Amazon
508,great problem,1,Amazon
509,earlier review noted plug charger nothing happens,0,Amazon
510,frog phone charm adorable eye catching,1,Amazon
511,never know pushed hard enough right number time function want,0,Amazon
512,sound clear people talk amazed quality,1,Amazon
513,got aluminum case new palm vx worked really well protected handheld perfectly far,1,Amazon
514,good product well made,1,Amazon
515,mobile phone tool must,1,Amazon
516,impressed job motorola sturdiness phone,1,Amazon
517,received order well within shipping timeframe everything good working order overall excited source,1,Amazon
518,phone sturdy waterproof,1,Amazon
519,impressed would recommend item anyone,0,Amazon
520,complaint standard sound volume little low even turned five five,0,Amazon
521,thanks amazon thing need good price,1,Amazon
522,ended sliding edge pant back pocket instead,1,Amazon
523,go store bought new nokia phone working great,1,Amazon
524,work great,1,Amazon
525,really ugly,0,Amazon
526,horrible switch two time,0,Amazon
527,noise shield incrediable,1,Amazon
528,real improvement,0,Amazon
529,razr battery good buy,1,Amazon
530,keep good work amazon,1,Amazon
531,refuse refund replace,0,Amazon
532,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening,0,Amazon
533,basically threw money window nothing,0,Amazon
534,great case price,1,Amazon
535,took one drop six inch kitchen counter cracked impressed laughing,0,Amazon
536,bluetooth range good day ago left phone trunk got call carried conversation without hitch,1,Amazon
537,small sleek impressive looking practical setup ample storage place,1,Amazon
538,eargels channel sound directly ear seem increase sound volume clarity,1,Amazon
539,none new one ever quite worked properly,0,Amazon
540,glad purchased,1,Amazon
541,missed numerous call reason,0,Amazon
542,perhaps phone defective people cannot hear use,0,Amazon
543,buy product,0,Amazon
544,sucked stuff work phone,0,Amazon
545,shifting bubbling peeling even scratch nothing happier new one droid,1,Amazon
546,worst software ever used could give zero star would,0,Amazon
547,trying make call exercise frustration,0,Amazon
548,case flimsy piece plastic front side protection whatsoever,0,Amazon
549,jabra earset happy sound quality especially outgoing better,1,Amazon
550,love camera really pretty good quality,1,Amazon
551,thank great service,1,Amazon
552,total package,1,Amazon
553,seller understanding patient would definitely buy,1,Amazon
554,give wirefly star contact cingular inform practice,0,Amazon
555,aggravating,0,Amazon
556,great product price,1,Amazon
557,purchased family friend enjoy clarity ease use,1,Amazon
558,virgin wireless rock cheap little phone,1,Amazon
559,none work buy,0,Amazon
560,muddy low quality sound casing around wire insert poorly super glued slid,0,Amazon
561,please dont waste money,0,Amazon
562,quite satisfied purchase,1,Amazon
563,looking good quality motorola headset keep looking,0,Amazon
564,yet plantronincs continues use flawed charger design,0,Amazon
565,disapointing result,0,Amazon
566,cumbersome design,0,Amazon
567,great new packaged nice work good problem came less time expected,1,Amazon
568,great product,1,Amazon
569,piece crap,0,Amazon
570,experience terrible fourth bluetooth headset much comfortable last jabra hated,0,Amazon
571,fix problem,1,Amazon
572,worst ever,0,Amazon
573,happy,1,Amazon
574,trouble accessing internet downloading ringtones performing function,1,Amazon
575,barely ever hear constantly saying,0,Amazon
576,battery life highly unacceptable,0,Amazon
577,company joke,0,Amazon
578,everything description said would,1,Amazon
579,due happening every call forced stop using headset,0,Amazon
580,work great car charger especially cannot plug two adapter time,1,Amazon
581,verizon tech support walked procedure none worked ended hard set wiping data,0,Amazon
582,voice quality signal strength dropped call,0,Amazon
583,play louder speaker size price low would think quality lacking however,1,Amazon
584,better expected,1,Amazon
585,feel poorly constructed menu difficult navigate button recessed difficult push,0,Amazon
586,battery holding well,1,Amazon
587,also difficult put recommend avoiding product,0,Amazon
588,used two day always easy hear,0,Amazon
589,got car charger even week charger broken went plug started smoking,0,Amazon
590,sprint terrible customer service,0,Amazon
591,linked phone without effort,1,Amazon
592,cool,1,Amazon
593,easy use,1,Amazon
594,better new,1,Amazon
595,possesed get junk idea,0,Amazon
596,piece trash,0,Amazon
597,pretty good product,1,Amazon
598,great phone,1,Amazon
599,price amazon excellent product would highly recommend,1,Amazon
600,research development division obviously know,1,Amazon
601,real killer volume course breaking,0,Amazon
602,phone working fine,1,Amazon
603,happy product,1,Amazon
604,poor construction,0,Amazon
605,infuriating,0,Amazon
606,overall would recommend phone new walkman,1,Amazon
607,sprint charge service,0,Amazon
608,cheap feel look cheap,0,Amazon
609,fit ear well comfortable,1,Amazon
610,work europe asia,0,Amazon
611,clipping belt deffinitely make feel like cent coming,1,Amazon
612,like design look jabra behing ear headset pretty comfortible wear hour day without pain ear,1,Amazon
613,amazed quick arrival two original lg cell phone battery fraction price,1,Amazon
614,worst phone samsung crap crappy samsung e worst ever seeen,0,Amazon
615,charger worked week completely stopped charging phone,0,Amazon
616,poor product,0,Amazon
617,however needed better instruction,0,Amazon
618,need two hand operate screen software interface decade old cannot compete new software design,0,Amazon
619,worked well paired treo w skype headset pc using usb bluetooth transceiver,1,Amazon
620,steer clear product go genuine palm replacementr pen come three pack,0,Amazon
621,buy buyit suck,0,Amazon
622,great product sure beat using finger,1,Amazon
623,plus seriously believe worth steep price point,0,Amazon
624,case tried normally fall apart month one seems long haul,1,Amazon
625,dissapointing performance,0,Amazon
626,make mistake please buy phone,0,Amazon
627,phone might well worst ever brand,0,Amazon
628,case less extra originally put later discarded scratched ear,0,Amazon
629,recommend igo anyone different brand cell phone mp player family,1,Amazon
630,bother go store,0,Amazon
631,posted detailed comment grey black phone fire red great color,1,Amazon
632,problem item would order needed,1,Amazon
633,get pay guess,0,Amazon
634,software great job could also make ringtones form existing cd without internet connection,1,Amazon
635,im surprised good quality car charger much review,1,Amazon
636,fabulous,1,Amazon
637,however bt headset currently good real time game like first person shooter since audio delay mess,0,Amazon
638,used bitpim free program find internet transfer data phone price cable excellent,1,Amazon
639,disappointing accessory good manufacturer,0,Amazon
640,performed awful muffled tinny incoming sound severe echo end call,0,Amazon
641,wind resistant,1,Amazon
642,obviously terrible customer service get pay,0,Amazon
643,last forever overly expensive replace easy operate sound much better others tried,1,Amazon
644,contacted company told although unit still warranty produce receipt luck,0,Amazon
645,linksys way exchange bad phone refurb unit something,0,Amazon
646,phone sturdy nokia bar phone,1,Amazon
647,great phone,1,Amazon
648,placed treo case snug lot extra room side,0,Amazon
649,pleased,1,Amazon
650,battery terrible,0,Amazon
651,found product easy set use,1,Amazon
652,earpiece large heavy keep falling ear,0,Amazon
653,utter crap sound quality terrible,0,Amazon
654,charger arrived within promised timeframe work,0,Amazon
655,ear loop needed tiny sound great,1,Amazon
656,finally three four time spring latch broke could use longer visor,0,Amazon
657,handsfree part work fine car try download address book treo reboots overall still rate device high,1,Amazon
658,talk useless customer service,0,Amazon
659,felt light tinny,0,Amazon
660,fit palm tungsten e broke first time tried plug,0,Amazon
661,happy purchase good quality low price,1,Amazon
662,love look feel samsung flipphones,1,Amazon
663,well designed sharp blue nice color,1,Amazon
664,everything,1,Amazon
665,could recommend,0,Amazon
666,nice sound,1,Amazon
667,look good picture case huge disappointment,0,Amazon
668,much less jawbone going replace,1,Amazon
669,setup went smoothly,1,Amazon
670,extremely slow take forever anything,0,Amazon
671,must study anyone interested worst sin industrial design,0,Amazon
672,first thing happened tracking,0,Amazon
673,well made easy access phone handy detachable belt clip,1,Amazon
674,continue pairing periodically since somehow kept dropping,0,Amazon
675,upload ringtones third party,0,Amazon
676,bluetooth work phone lock screen flash make call randomly pocket locked,0,Amazon
677,truly awful,0,Amazon
678,work fine motorola cellphone lot better worn battery,1,Amazon
679,volume ringer real good choice loud,1,Amazon
680,none tone acceptable,0,Amazon
681,camera color balance awful,0,Amazon
682,product clearly ready prime time care cool look tell call coming worthless,0,Amazon
683,love ringtones upbeat,1,Amazon
684,chinese forgery abound,0,Amazon
685,easy pair samsung cell,1,Amazon
686,instruction explain microphone jack could used,0,Amazon
687,would advise purchase item never worked well,0,Amazon
688,bad pay month service,0,Amazon
689,work well,1,Amazon
690,nokia ca usb cable work phone,0,Amazon
691,clear crisp sound,1,Amazon
692,use smallest earpiece provided stay pretty well,1,Amazon
693,biggest complaint battery drain superfast,0,Amazon
694,design might ergonomic theory could stand ear,0,Amazon
695,buy want use holster,0,Amazon
696,phone also take great picture even video clip,1,Amazon
697,make look cool,0,Amazon
698,ear occupied background distracting,1,Amazon
699,comfortable fit need headset comfortable least hour time entire day,1,Amazon
